bt,20:34:20.811-20:32:33.139,ncc,0
cg,20:34:24.549-20:34:20.838,ncc,0
ep,20:35:01.122-20:34:24.589,ncc,0
ft,20:35:04.427-20:35:01.159,ncc,0
is,20:35:08.985-20:35:04.461,ncc,0
mg,20:35:09.607-20:35:09.020,ncc,0
sp,20:36:13.772-20:35:09.635,ncc,0
ua,20:44:09.037-20:36:13.815,ncc,0
bt,20:45:56.704-20:44:09.061,ncc,1
cg,20:46:00.375-20:45:56.740,ncc,1
ep,20:46:37.023-20:46:00.409,ncc,1
ft,20:46:40.322-20:46:37.050,ncc,1
is,20:46:44.877-20:46:40.357,ncc,1
mg,20:46:45.410-20:46:44.905,ncc,1
sp,20:47:49.573-20:46:45.439,ncc,1
ua,20:55:45.123-20:47:49.605,ncc,1
bt,20:57:32.784-20:55:45.162,ncc,2
cg,20:57:36.553-20:57:32.866,ncc,2
ep,20:58:13.326-20:57:36.837,ncc,2
ft,20:58:16.624-20:58:13.398,ncc,2
is,20:58:21.182-20:58:16.663,ncc,2
mg,20:58:21.812-20:58:21.269,ncc,2
sp,20:59:26.170-20:58:22.091,ncc,2
ua,21:07:22.009-20:59:26.471,ncc,2
bt,21:09:09.908-21:07:22.245,ncc,3
cg,21:09:13.578-21:09:09.941,ncc,3
ep,21:09:50.145-21:09:13.618,ncc,3
ft,21:09:53.423-21:09:50.169,ncc,3
is,21:09:57.980-21:09:53.466,ncc,3
mg,21:09:58.606-21:09:58.016,ncc,3
sp,21:11:02.787-21:09:58.675,ncc,3
ua,21:18:58.317-21:11:02.824,ncc,3
bt,21:20:45.988-21:18:58.355,ncc,4
cg,21:20:50.132-21:20:46.516,ncc,4
ep,21:21:26.706-21:20:50.201,ncc,4
ft,21:21:30.020-21:21:26.815,ncc,4
is,21:21:34.781-21:21:30.333,ncc,4
mg,21:21:35.611-21:21:35.135,ncc,4
sp,21:22:39.739-21:21:35.699,ncc,4
ua,21:30:35.027-21:22:39.767,ncc,4
