BT,54.57,1599.137946
CG,0.87,1599.862450
EP,18.19,1598.242165
FT,1.60,1599.260877
IS,0.73,1599.649797
MG,0.24,1598.649046
SP,32.16,1599.287734
UA,254.44,1599.103957
BT,54.58,1598.296265
CG,0.87,1599.775432
EP,18.19,1598.378665
FT,1.60,1598.403731
IS,0.73,1599.286547
MG,0.24,1599.063153
SP,32.18,1599.265540
UA,254.46,1598.204036
BT,54.56,1599.410057
CG,0.87,1599.733820
EP,18.19,1599.188824
FT,1.60,1599.073112
IS,0.73,1598.908568
MG,0.24,1598.303120
SP,32.17,1599.624539
UA,254.57,1598.361589
BT,54.56,1599.501140
CG,0.87,1598.772418
EP,18.19,1598.995135
FT,1.60,1599.135707
IS,0.73,1598.684923
MG,0.24,1599.172413
SP,32.17,1599.685106
UA,254.48,1599.343371
BT,54.57,1598.204351
CG,0.87,1599.113920
EP,18.19,1598.852568
FT,1.60,1599.004024
IS,0.73,1599.672340
MG,0.24,1599.887717
SP,32.17,1599.965274
UA,254.44,1598.957950
BT,54.58,1599.404092
CG,0.87,1599.938836
EP,18.19,1599.970294
FT,1.60,1599.597023
IS,0.73,1599.704311
MG,0.24,1599.675390
SP,32.17,1599.149863
UA,254.47,1599.049604
BT,54.55,1598.965069
CG,0.87,1598.733584
EP,18.19,1598.499318
FT,1.60,1598.735510
IS,0.73,1598.340290
MG,0.24,1599.298950
SP,32.17,1599.138067
UA,254.46,1598.714470
BT,54.57,1598.762117
CG,0.87,1599.749040
EP,18.19,1598.580217
FT,1.60,1598.795339
IS,0.73,1598.689624
MG,0.24,1599.916542
SP,32.17,1598.319034
UA,254.49,1599.918581
BT,54.58,1599.452541
CG,0.87,1599.566614
EP,18.19,1599.630297
FT,1.60,1599.550024
IS,0.73,1598.264253
MG,0.24,1599.365624
SP,32.18,1598.697105
UA,254.41,1599.538287
BT,54.57,1598.986838
CG,0.87,1599.817632
EP,18.19,1599.474106
FT,1.60,1598.349269
IS,0.73,1598.677228
MG,0.24,1598.415214
SP,32.18,1598.324442
UA,254.46,1598.342667
