bt,20.632,intel,1
cg,6.263,intel,1
ep,3.663,intel,1
ft,3.918,intel,1
is,.865,intel,1
mg,1.192,intel,1
sp,13.721,intel,1
ua,29.100,intel,1
bt,20.853,intel,2
cg,5.981,intel,2
ep,4.557,intel,2
ft,3.900,intel,2
is,.839,intel,2
mg,1.179,intel,2
sp,14.394,intel,2
ua,28.553,intel,2
bt,20.892,intel,3
cg,5.676,intel,3
ep,4.593,intel,3
ft,3.915,intel,3
is,.840,intel,3
mg,1.198,intel,3
sp,13.709,intel,3
ua,29.332,intel,3
bt,20.800,intel,4
cg,6.051,intel,4
ep,2.636,intel,4
ft,3.866,intel,4
is,.841,intel,4
mg,1.207,intel,4
sp,13.760,intel,4
ua,29.224,intel,4
bt,20.721,intel,5
cg,5.872,intel,5
ep,2.595,intel,5
ft,3.651,intel,5
is,.842,intel,5
mg,1.155,intel,5
sp,13.752,intel,5
ua,29.236,intel,5
bt,20.671,intel,6
cg,5.231,intel,6
ep,2.666,intel,6
ft,3.885,intel,6
is,.840,intel,6
mg,1.137,intel,6
sp,13.985,intel,6
ua,29.268,intel,6
bt,20.665,intel,7
cg,5.981,intel,7
ep,2.658,intel,7
ft,3.840,intel,7
is,.839,intel,7
mg,1.122,intel,7
sp,13.669,intel,7
ua,29.188,intel,7
bt,20.648,intel,8
cg,5.742,intel,8
ep,2.606,intel,8
ft,3.809,intel,8
is,.862,intel,8
mg,1.207,intel,8
sp,13.711,intel,8
ua,28.691,intel,8
bt,21.087,intel,9
cg,5.715,intel,9
ep,2.610,intel,9
ft,3.879,intel,9
is,.834,intel,9
mg,1.114,intel,9
sp,13.905,intel,9
ua,29.368,intel,9
bt,20.855,intel,10
cg,5.955,intel,10
ep,2.600,intel,10
ft,3.934,intel,10
is,.844,intel,10
mg,1.133,intel,10
sp,13.993,intel,10
ua,28.756,intel,10
