bt,431.857,ncc,1
cg,8.526,ncc,1
ep,15.574,ncc,1
ft,12.872,ncc,1
is,15.804,ncc,1
mg,.769,ncc,1
sp,239.589,ncc,1
ua,177.750,ncc,1
bt,431.933,ncc,2
cg,8.525,ncc,2
ep,15.576,ncc,2
ft,13.056,ncc,2
is,15.685,ncc,2
mg,.722,ncc,2
sp,239.512,ncc,2
ua,177.696,ncc,2
bt,431.971,ncc,3
cg,8.522,ncc,3
ep,15.577,ncc,3
ft,13.061,ncc,3
is,15.805,ncc,3
mg,.772,ncc,3
sp,239.653,ncc,3
ua,177.707,ncc,3
bt,431.848,ncc,4
cg,8.522,ncc,4
ep,15.570,ncc,4
ft,13.084,ncc,4
is,15.809,ncc,4
mg,.756,ncc,4
sp,239.510,ncc,4
ua,177.745,ncc,4
bt,431.840,ncc,5
cg,8.406,ncc,5
ep,15.575,ncc,5
ft,13.049,ncc,5
is,15.688,ncc,5
mg,.788,ncc,5
sp,239.580,ncc,5
ua,177.731,ncc,5
bt,431.982,ncc,6
cg,8.527,ncc,6
ep,15.456,ncc,6
ft,13.010,ncc,6
is,15.806,ncc,6
mg,.792,ncc,6
sp,239.610,ncc,6
ua,177.751,ncc,6
bt,431.885,ncc,7
cg,8.403,ncc,7
ep,15.573,ncc,7
ft,13.115,ncc,7
is,15.686,ncc,7
mg,.768,ncc,7
sp,239.597,ncc,7
ua,177.596,ncc,7
bt,431.950,ncc,8
cg,8.530,ncc,8
ep,15.455,ncc,8
ft,13.085,ncc,8
is,15.826,ncc,8
mg,.767,ncc,8
sp,239.653,ncc,8
ua,177.764,ncc,8
bt,431.921,ncc,9
cg,8.526,ncc,9
ep,15.572,ncc,9
ft,13.057,ncc,9
is,15.803,ncc,9
mg,.738,ncc,9
sp,239.634,ncc,9
ua,177.685,ncc,9
bt,431.935,ncc,10
cg,8.523,ncc,10
ep,15.577,ncc,10
ft,13.108,ncc,10
is,15.972,ncc,10
mg,.737,ncc,10
sp,239.648,ncc,10
ua,177.774,ncc,10
