bt,21:31:14.973-21:30:35.070,intel,0
cg,21:31:26.574-21:31:15.006,intel,0
ep,21:31:31.405-21:31:26.607,intel,0
ft,21:31:38.888-21:31:31.428,intel,0
is,21:31:40.653-21:31:38.959,intel,0
mg,21:31:43.033-21:31:40.718,intel,0
sp,21:32:09.128-21:31:43.060,intel,0
ua,21:32:59.788-21:32:09.154,intel,0
bt,21:33:40.097-21:32:59.820,intel,1
cg,21:33:51.371-21:33:40.179,intel,1
ep,21:33:56.251-21:33:51.445,intel,1
ft,21:34:03.447-21:33:56.328,intel,1
is,21:34:05.133-21:34:03.482,intel,1
mg,21:34:07.460-21:34:05.159,intel,1
sp,21:34:33.006-21:34:07.491,intel,1
ua,21:35:24.103-21:34:33.033,intel,1
bt,21:36:04.704-21:35:24.174,intel,2
cg,21:36:15.474-21:36:04.780,intel,2
ep,21:36:20.277-21:36:15.502,intel,2
ft,21:36:27.516-21:36:20.310,intel,2
is,21:36:29.232-21:36:27.554,intel,2
mg,21:36:31.560-21:36:29.260,intel,2
sp,21:36:57.625-21:36:31.591,intel,2
ua,21:37:48.725-21:36:57.647,intel,2
bt,21:38:28.539-21:37:48.756,intel,3
cg,21:38:39.784-21:38:28.572,intel,3
ep,21:38:44.611-21:38:39.815,intel,3
ft,21:38:51.890-21:38:44.638,intel,3
is,21:38:53.595-21:38:51.922,intel,3
mg,21:38:55.924-21:38:53.623,intel,3
sp,21:39:21.600-21:38:55.948,intel,3
ua,21:40:12.168-21:39:21.622,intel,3
bt,21:40:52.563-21:40:12.198,intel,4
cg,21:41:03.831-21:40:52.591,intel,4
ep,21:41:08.921-21:41:04.111,intel,4
ft,21:41:16.427-21:41:08.993,intel,4
is,21:41:18.176-21:41:16.501,intel,4
mg,21:41:20.756-21:41:18.454,intel,4
sp,21:41:46.442-21:41:20.826,intel,4
ua,21:42:37.704-21:41:46.513,intel,4
