bt,40.270,intel,1
cg,10.602,intel,1
ep,5.151,intel,1
ft,7.322,intel,1
is,1.671,intel,1
mg,2.324,intel,1
sp,25.939,intel,1
ua,50.778,intel,1
bt,40.283,intel,2
cg,10.539,intel,2
ep,4.925,intel,2
ft,7.404,intel,2
is,1.660,intel,2
mg,2.304,intel,2
sp,25.454,intel,2
ua,51.345,intel,2
bt,40.099,intel,3
cg,10.671,intel,3
ep,5.101,intel,3
ft,7.539,intel,3
is,1.680,intel,3
mg,2.302,intel,3
sp,25.631,intel,3
ua,51.527,intel,3
bt,40.014,intel,4
cg,12.356,intel,4
ep,5.102,intel,4
ft,7.336,intel,4
is,1.666,intel,4
mg,2.372,intel,4
sp,25.850,intel,4
ua,51.000,intel,4
bt,39.885,intel,5
cg,10.542,intel,5
ep,5.096,intel,5
ft,7.598,intel,5
is,1.660,intel,5
mg,2.303,intel,5
sp,26.225,intel,5
ua,50.665,intel,5
bt,40.285,intel,6
cg,10.257,intel,6
ep,5.113,intel,6
ft,7.598,intel,6
is,1.677,intel,6
mg,2.248,intel,6
sp,26.165,intel,6
ua,50.942,intel,6
bt,40.101,intel,7
cg,9.951,intel,7
ep,5.097,intel,7
ft,7.362,intel,7
is,1.661,intel,7
mg,2.218,intel,7
sp,25.932,intel,7
ua,51.345,intel,7
bt,40.197,intel,8
cg,12.755,intel,8
ep,5.107,intel,8
ft,7.469,intel,8
is,1.675,intel,8
mg,2.157,intel,8
sp,25.475,intel,8
ua,50.863,intel,8
bt,40.231,intel,9
cg,10.310,intel,9
ep,5.138,intel,9
ft,7.231,intel,9
is,1.678,intel,9
mg,2.304,intel,9
sp,26.355,intel,9
ua,50.275,intel,9
bt,40.434,intel,10
cg,10.097,intel,10
ep,4.963,intel,10
ft,7.181,intel,10
is,1.684,intel,10
mg,2.226,intel,10
sp,26.549,intel,10
ua,51.056,intel,10
