bt,40.458,intel,1
cg,10.983,intel,1
ep,5.083,intel,1
ft,7.306,intel,1
is,1.659,intel,1
mg,2.320,intel,1
sp,26.297,intel,1
ua,50.467,intel,1
bt,40.101,intel,2
cg,10.735,intel,2
ep,5.052,intel,2
ft,7.486,intel,2
is,1.647,intel,2
mg,2.294,intel,2
sp,25.934,intel,2
ua,49.863,intel,2
bt,39.661,intel,3
cg,10.371,intel,3
ep,5.148,intel,3
ft,7.186,intel,3
is,1.640,intel,3
mg,2.300,intel,3
sp,25.360,intel,3
ua,49.959,intel,3
bt,39.840,intel,4
cg,11.982,intel,4
ep,5.169,intel,4
ft,7.403,intel,4
is,1.650,intel,4
mg,2.297,intel,4
sp,25.827,intel,4
ua,50.774,intel,4
bt,39.989,intel,5
cg,10.902,intel,5
ep,5.207,intel,5
ft,7.392,intel,5
is,1.650,intel,5
mg,2.224,intel,5
sp,25.359,intel,5
ua,49.792,intel,5
bt,40.132,intel,6
cg,10.113,intel,6
ep,5.156,intel,6
ft,7.687,intel,6
is,1.668,intel,6
mg,2.309,intel,6
sp,25.519,intel,6
ua,51.006,intel,6
bt,39.860,intel,7
cg,11.126,intel,7
ep,5.163,intel,7
ft,7.403,intel,7
is,1.664,intel,7
mg,2.309,intel,7
sp,25.852,intel,7
ua,50.972,intel,7
bt,40.328,intel,8
cg,10.273,intel,8
ep,5.105,intel,8
ft,7.165,intel,8
is,1.653,intel,8
mg,2.300,intel,8
sp,26.674,intel,8
ua,50.507,intel,8
bt,40.477,intel,9
cg,10.846,intel,9
ep,5.171,intel,9
ft,7.299,intel,9
is,1.653,intel,9
mg,2.321,intel,9
sp,25.749,intel,9
ua,51.047,intel,9
bt,40.451,intel,10
cg,10.059,intel,10
ep,5.147,intel,10
ft,7.405,intel,10
is,1.657,intel,10
mg,2.309,intel,10
sp,26.647,intel,10
ua,50.823,intel,10
